OrderID,OrderDate,ShipMode,CustomerSegment,Country,State,City,Region,Category,SubCategory,Quantity,UnitPrice,Discount,Unit_Cost
S1-100035,14/01/2023,Standard Class,Consumer,United States,Colorado,Denver,West,Office Supplies,Storage,3,612.32,0.1,412.0166667
S1-100036,10/03/2023,First Class,Corporate,United States,Massachusetts,Boston,East,Furniture,Chairs,2,620.59,0,434.47
S1-100037,19/11/2023,Second Class,Consumer,United States,Arizona,Tucson,West,Office Supplies,Binders,1,749.22,0,535.69
S1-100038,15/12/2022,First Class,Consumer,United States,Illinois,Springfield,Central,Technology,Accessories,4,575.62,0.3,256.0825
S1-100039,15/04/2021,Standard Class,Consumer,United States,Colorado,Denver,West,Office Supplies,Art,2,661.19,0,487.67
S1-100040,18/02/2021,Same Day,Home Office,United States,Florida,Tallahassee,South,Technology,Phones,4,230.71,0.1,131.2125
S1-100041,27/09/2021,First Class,Consumer,United States,Colorado,Fort Collins,West,Furniture,Furnishings,1,118.7,0.1,70.45
S1-100042,10/12/2023,First Class,Corporate,United States,Colorado,Denver,West,Furniture,Chairs,4,194.65,0.1,108.12
S1-100043,15/05/2022,Second Class,Consumer,United States,Massachusetts,Springfield,East,Technology,Machines,1,104.31,0,85.91
S1-100044,20/04/2021,Second Class,Consumer,United States,Nevada,Las Vegas,West,Technology,Phones,3,784.26,0,483.38
S1-100045,24/04/2023,Second Class,Consumer,United States,California,Sacramento,West,Technology,Phones,1,784.12,0,654.92
S1-100046,12/08/2022,Standard Class,Corporate,United States,Illinois,Chicago,Central,Technology,Accessories,3,521.14,0.2,268.7133333
S1-100047,13/04/2021,Standard Class,Consumer,United States,Washington,Tacoma,West,Furniture,Chairs,2,345.18,0,272.825
S1-100048,24/11/2021,Standard Class,Consumer,United States,Washington,Spokane,West,Office Supplies,Binders,2,381.94,0,294.755
S1-100049,11/01/2022,Standard Class,Corporate,United States,Arizona,Chandler,West,Office Supplies,Binders,3,347.98,0,246.44
S1-100050,22/10/2021,Standard Class,Consumer,United States,Arizona,Scottsdale,West,Technology,Copiers,4,254.99,0.1,171.715
S1-100051,18/06/2022,First Class,Consumer,United States,California,Sacramento,West,Furniture,Tables,1,254.55,0.1,138.47
S1-100052,11/07/2022,Standard Class,Consumer,United States,Nevada,Henderson,West,Furniture,Bookcases,2,766.95,0.3,446.475
S1-100053,10/01/2023,First Class,Consumer,United States,Colorado,Fort Collins,West,Office Supplies,Art,1,422.45,0,274.5
S1-100054,05/07/2022,Standard Class,Consumer,United States,Massachusetts,Worcester,East,Technology,Machines,2,317.1,0,262.115
S1-100055,24/11/2022,Standard Class,Consumer,United States,Washington,Seattle,West,Furniture,Furnishings,1,237.19,0,184.04
S1-100056,22/03/2022,Standard Class,Corporate,United States,California,San Diego,West,Technology,Copiers,3,611.51,0,434.16
S1-100057,10/02/2022,Standard Class,Home Office,United States,Florida,Tallahassee,South,Office Supplies,Art,3,728.09,0,622.5766667
S1-100058,20/11/2022,Standard Class,Home Office,United States,Washington,Tacoma,West,Furniture,Tables,3,146.12,0,96.07
S1-100059,31/03/2022,Second Class,Consumer,United States,Massachusetts,Worcester,East,Furniture,Bookcases,2,563.91,0,504.44
S1-100060,14/11/2022,Standard Class,Home Office,United States,Washington,Bellevue,West,Technology,Copiers,4,694.11,0,568.9775
S1-100061,19/06/2023,Standard Class,Consumer,United States,Illinois,Joliet,Central,Technology,Machines,3,601.24,0,383.0866667
S1-100062,22/09/2021,First Class,Home Office,United States,Arizona,Mesa,West,Technology,Accessories,2,635.98,0,487.565
S1-100063,09/02/2022,First Class,Consumer,United States,Massachusetts,Lowell,East,Furniture,Tables,1,541.87,0.1,405.81
S1-100064,13/09/2021,Standard Class,Corporate,United States,Arizona,Scottsdale,West,Furniture,Chairs,4,8.58,0,6.8925
S1-100065,28/07/2022,Standard Class,Home Office,United States,Washington,Everett,West,Technology,Phones,2,683.41,0,531.075
S1-100066,08/05/2022,Standard Class,Consumer,United States,New York,Syracuse,East,Furniture,Chairs,3,646.91,0.3,311.9633333
S1-100067,08/03/2021,Standard Class,Corporate,United States,Texas,Austin,Central,Technology,Copiers,2,732.66,0,469.13
S1-100068,23/08/2023,Standard Class,Corporate,United States,California,San Diego,West,Furniture,Tables,2,339.2,0.3,196.03
S1-100069,02/12/2021,Standard Class,Home Office,United States,New York,Syracuse,East,Furniture,Tables,3,595.14,0,473.75
S1-100070,08/03/2021,Standard Class,Consumer,United States,New York,Buffalo,East,Furniture,Furnishings,3,634.62,0.1,417.81
S1-100071,30/05/2022,Same Day,Corporate,United States,Massachusetts,Springfield,East,Technology,Machines,1,451.93,0,359.68
S1-100072,18/11/2021,Standard Class,Consumer,United States,Illinois,Naperville,Central,Furniture,Furnishings,1,200.62,0,147.76
S1-100073,11/09/2023,Standard Class,Consumer,United States,Florida,Miami,South,Furniture,Tables,3,169.58,0,121.8
S1-100074,28/10/2021,First Class,Consumer,United States,California,Los Angeles,West,Technology,Phones,2,269.81,0,225.07
S1-100075,01/01/2022,Standard Class,Corporate,United States,New York,Buffalo,East,Furniture,Tables,1,267.93,0.2,131.73
S1-100076,09/04/2021,Second Class,Home Office,United States,Arizona,Phoenix,West,Furniture,Chairs,1,154.72,0,97.97
S1-100077,04/11/2021,First Class,Consumer,United States,New York,Rochester,East,Office Supplies,Labels,4,497.2,0,413.6125
S1-100078,28/03/2021,Second Class,Home Office,United States,New York,Syracuse,East,Office Supplies,Art,2,651.46,0,547.075
S1-100079,17/03/2023,Second Class,Consumer,United States,New York,Rochester,East,Furniture,Chairs,2,20.13,0,16.455
S1-100080,01/05/2023,Same Day,Consumer,United States,Arizona,Tucson,West,Technology,Copiers,1,556.01,0,418.22
S1-100081,20/09/2022,Standard Class,Consumer,United States,California,Los Angeles,West,Technology,Copiers,4,704.9,0,554.43
S1-100082,27/07/2021,Standard Class,Corporate,United States,California,San Jose,West,Furniture,Bookcases,1,478.59,0,412.62
S1-100083,16/04/2023,Standard Class,Corporate,United States,Colorado,Boulder,West,Office Supplies,Art,3,607.95,0.3,308.87
S1-100084,26/04/2023,Same Day,Consumer,United States,California,San Francisco,West,Office Supplies,Storage,4,319.03,0,205.715
S1-100085,11/01/2022,Standard Class,Consumer,United States,Texas,Houston,Central,Technology,Machines,2,588.13,0.2,335.805
S1-100086,03/05/2023,Standard Class,Consumer,United States,Arizona,Chandler,West,Technology,Copiers,4,693.13,0.1,392.98
S1-100087,17/10/2023,Standard Class,Corporate,United States,Arizona,Phoenix,West,Technology,Accessories,4,318.73,0,249.445
S1-100088,06/01/2022,Second Class,Consumer,United States,Washington,Bellevue,West,Technology,Accessories,2,318.32,0,206.545
S1-100089,02/10/2022,Standard Class,Corporate,United States,Florida,Tallahassee,South,Furniture,Chairs,4,226.1,0,148.26
S1-100090,25/09/2021,Standard Class,Home Office,United States,Washington,Spokane,West,Furniture,Tables,3,398.93,0,269.57
S1-100091,24/01/2022,Standard Class,Home Office,United States,Arizona,Scottsdale,West,Technology,Machines,4,62.1,0,42.9325
S1-100092,31/03/2021,Second Class,Consumer,United States,California,Sacramento,West,Office Supplies,Storage,2,132.45,0.2,82.145
S1-100093,17/02/2021,Standard Class,Corporate,United States,New York,Buffalo,East,Office Supplies,Art,1,753.52,0,654.69
S1-100094,22/07/2021,Standard Class,Consumer,United States,New York,Syracuse,East,Furniture,Tables,1,569.64,0.2,392.99
S1-100095,23/03/2021,Standard Class,Home Office,United States,Illinois,Aurora,Central,Furniture,Chairs,4,623,0,465.495
S1-100096,08/04/2021,Standard Class,Home Office,United States,Illinois,Naperville,Central,Furniture,Chairs,2,762.8,0,584.555
S1-100097,30/09/2023,Standard Class,Consumer,United States,New York,New York,East,Furniture,Furnishings,3,374.69,0,284.6033333
S1-100098,27/06/2023,Second Class,Consumer,United States,Massachusetts,Lowell,East,Technology,Accessories,4,276.4,0,194.2325
S1-100099,05/08/2022,Standard Class,Home Office,United States,Colorado,Fort Collins,West,Technology,Phones,2,513.02,0,460.695
S1-100100,28/06/2022,Standard Class,Corporate,United States,California,San Jose,West,Furniture,Chairs,2,737.87,0,603.47
S1-100101,01/09/2022,Standard Class,Consumer,United States,Colorado,Boulder,West,Office Supplies,Labels,1,544.08,0.1,299.72
S1-100102,08/07/2021,Standard Class,Corporate,United States,Nevada,North Las Vegas,West,Technology,Copiers,2,758.29,0,622.975
S1-100103,27/07/2021,Standard Class,Consumer,United States,Illinois,Joliet,Central,Office Supplies,Labels,3,277.18,0,202.9
S1-100104,30/08/2023,Standard Class,Consumer,United States,California,San Francisco,West,Office Supplies,Art,2,162.26,0.1,125.325
S1-100105,04/11/2021,Second Class,Consumer,United States,Colorado,Denver,West,Furniture,Chairs,3,728.71,0,555.73
S1-100106,26/02/2023,Standard Class,Consumer,United States,Massachusetts,Springfield,East,Furniture,Bookcases,4,322.74,0,195.8925
S1-100107,26/12/2021,Standard Class,Home Office,United States,Nevada,North Las Vegas,West,Office Supplies,Labels,2,437.92,0,345.81
S1-100108,23/01/2021,Standard Class,Home Office,United States,New York,Syracuse,East,Technology,Machines,3,612.91,0.1,410.5066667
S1-100109,01/02/2022,Standard Class,Corporate,United States,New York,Albany,East,Furniture,Tables,2,178.99,0.1,138.245
S1-100110,06/02/2023,Standard Class,Consumer,United States,California,San Diego,West,Technology,Machines,4,96.98,0,87.2425
S1-100111,24/11/2022,First Class,Home Office,United States,Texas,Austin,Central,Office Supplies,Labels,1,114.71,0.1,70.33
S1-100112,09/07/2022,Same Day,Consumer,United States,Colorado,Denver,West,Technology,Phones,3,403.11,0,320.7966667
S1-100113,17/12/2021,Second Class,Home Office,United States,Massachusetts,Worcester,East,Furniture,Bookcases,2,371.66,0,228.73
S1-100114,09/03/2022,First Class,Consumer,United States,Florida,Jacksonville,South,Technology,Machines,2,600.31,0.1,403.795
S1-100115,04/11/2021,Second Class,Consumer,United States,Texas,Fort Worth,Central,Furniture,Chairs,1,46.98,0,34.34
S1-100116,13/03/2021,Standard Class,Consumer,United States,California,San Francisco,West,Technology,Phones,4,659.38,0,557.6775
S1-100117,13/08/2022,Standard Class,Consumer,United States,Florida,Jacksonville,South,Furniture,Furnishings,4,374.42,0,249.2725
S1-100118,18/02/2021,Second Class,Consumer,United States,Arizona,Phoenix,West,Furniture,Chairs,4,321.81,0.3,144.4325
S1-100119,13/05/2022,Second Class,Home Office,United States,Washington,Spokane,West,Technology,Machines,1,180.53,0,123.97
S1-100120,04/08/2022,Standard Class,Consumer,United States,Illinois,Naperville,Central,Technology,Copiers,1,483.24,0,327.66
S1-100121,25/05/2021,Standard Class,Consumer,United States,Arizona,Scottsdale,West,Office Supplies,Binders,3,255.23,0,204.95
S1-100122,09/07/2023,Standard Class,Consumer,United States,California,San Diego,West,Technology,Copiers,4,378.61,0,333.4275
S1-100123,05/09/2023,Standard Class,Consumer,United States,New York,Rochester,East,Furniture,Bookcases,1,169.55,0,110.69
S1-100124,10/01/2022,First Class,Consumer,United States,Nevada,Henderson,West,Office Supplies,Paper,2,490.34,0,424.885
S1-100125,07/08/2021,Same Day,Consumer,United States,California,Los Angeles,West,Furniture,Bookcases,4,604.65,0.1,412.3925
S1-100126,30/09/2023,Standard Class,Corporate,United States,California,San Jose,West,Furniture,Furnishings,4,140.42,0.3,73.68
S1-100127,18/12/2022,Standard Class,Consumer,United States,Massachusetts,Cambridge,East,Office Supplies,Storage,2,158.6,0,136.37
S1-100128,29/05/2023,Standard Class,Home Office,United States,Florida,Tampa,South,Office Supplies,Art,4,316.24,0,232.535
S1-100129,19/03/2021,Standard Class,Consumer,United States,Washington,Bellevue,West,Office Supplies,Binders,2,80.24,0,65.55
S1-100130,29/11/2023,First Class,Corporate,United States,New York,Rochester,East,Technology,Accessories,4,479.93,0,295.5275
S1-100131,22/10/2023,First Class,Consumer,United States,Florida,Tallahassee,South,Office Supplies,Paper,3,452.32,0,372.2766667
S1-100132,23/08/2023,Standard Class,Consumer,United States,Washington,Tacoma,West,Furniture,Furnishings,4,301.58,0,205.4075
S1-100133,18/05/2023,Standard Class,Home Office,United States,Arizona,Mesa,West,Office Supplies,Labels,4,154.15,0,133.1
S1-100134,10/03/2023,Standard Class,Home Office,United States,Texas,Fort Worth,Central,Office Supplies,Storage,3,342.86,0,248.67
S1-100135,14/03/2021,Standard Class,Home Office,United States,Arizona,Scottsdale,West,Furniture,Tables,1,418.76,0,337.96
S1-100136,19/11/2023,Standard Class,Consumer,United States,Colorado,Colorado Springs,West,Office Supplies,Paper,3,175.39,0,115.15
S1-100137,26/09/2021,Standard Class,Home Office,United States,California,Sacramento,West,Office Supplies,Labels,1,523.08,0.2,330.7
S1-100138,25/12/2022,Standard Class,Home Office,United States,Washington,Seattle,West,Office Supplies,Labels,1,566.11,0,493.02
S1-100139,23/10/2023,Standard Class,Corporate,United States,Massachusetts,Lowell,East,Furniture,Chairs,1,430.24,0.2,265.11
S1-100140,17/07/2022,Second Class,Consumer,United States,Washington,Seattle,West,Technology,Accessories,2,771.68,0,663.79
S1-100141,08/10/2023,Same Day,Consumer,United States,Nevada,Sparks,West,Technology,Machines,4,438.81,0,381.6225
S1-100142,02/08/2021,Standard Class,Consumer,United States,Arizona,Mesa,West,Office Supplies,Binders,2,76.35,0,63.675
S1-100143,06/11/2021,Same Day,Consumer,United States,Massachusetts,Springfield,East,Furniture,Chairs,4,178.87,0,157.5575
S1-100144,12/06/2021,Standard Class,Consumer,United States,New York,New York,East,Furniture,Chairs,3,730.4,0,575.4066667
S1-100145,03/05/2021,Standard Class,Consumer,United States,Nevada,North Las Vegas,West,Technology,Machines,1,184.61,0,163.14
S1-100146,10/07/2021,Standard Class,Corporate,United States,Arizona,Mesa,West,Furniture,Tables,3,350.63,0,286.3133333
S1-100147,04/02/2021,Standard Class,Consumer,United States,Massachusetts,Boston,East,Furniture,Tables,3,352.15,0.3,183.8633333
S1-100148,01/11/2022,Standard Class,Corporate,United States,Washington,Seattle,West,Office Supplies,Binders,1,785.2,0,682.36
S1-100149,15/05/2022,Second Class,Consumer,United States,California,Sacramento,West,Office Supplies,Art,3,685.7,0,482.94
S1-100150,09/02/2022,Second Class,Corporate,United States,Colorado,Aurora,West,Office Supplies,Storage,3,590.58,0,392.5266667
S1-100151,14/03/2023,Standard Class,Home Office,United States,Texas,Houston,Central,Office Supplies,Art,2,93.03,0.3,42.09
S1-100152,05/07/2023,Standard Class,Corporate,United States,New York,Rochester,East,Technology,Machines,1,289.36,0,186.41
S1-100153,08/04/2022,Standard Class,Consumer,United States,Florida,Miami,South,Office Supplies,Art,2,626.86,0.1,476.46
S1-100154,11/01/2022,Standard Class,Consumer,United States,Nevada,Henderson,West,Office Supplies,Paper,2,196.54,0.1,122.785
S1-100155,14/08/2022,First Class,Consumer,United States,Texas,Austin,Central,Furniture,Tables,4,744.35,0,590.195
S1-100156,28/01/2022,Standard Class,Corporate,United States,Massachusetts,Springfield,East,Technology,Machines,2,69.52,0,51.665
S1-100157,20/02/2023,First Class,Consumer,United States,Washington,Tacoma,West,Office Supplies,Labels,1,635.44,0.1,513.82
S1-100158,20/11/2022,Standard Class,Corporate,United States,Nevada,Henderson,West,Office Supplies,Binders,4,278.99,0,192.1925
S1-100159,04/01/2021,Standard Class,Corporate,United States,Texas,Houston,Central,Technology,Accessories,3,157.58,0,132.9333333
S1-100160,18/11/2023,Standard Class,Consumer,United States,Massachusetts,Boston,East,Technology,Machines,2,771.79,0,562.625
S1-100161,10/07/2023,Standard Class,Corporate,United States,New York,Albany,East,Technology,Accessories,1,8.42,0,7.56
S1-100162,06/01/2022,Standard Class,Consumer,United States,New York,Rochester,East,Technology,Phones,3,300.38,0,197.8433333
S1-100163,30/06/2021,Second Class,Home Office,United States,Washington,Everett,West,Office Supplies,Art,2,325.67,0.2,175.54
S1-100164,18/03/2022,First Class,Consumer,United States,Arizona,Phoenix,West,Office Supplies,Binders,2,235.1,0.1,184.565
S1-100165,17/07/2022,Standard Class,Home Office,United States,New York,Buffalo,East,Furniture,Chairs,2,183.63,0.1,118.95
S1-100166,04/11/2022,First Class,Home Office,United States,Texas,San Antonio,Central,Technology,Phones,4,679.46,0,417.9775
S1-100167,24/06/2021,Standard Class,Corporate,United States,Florida,Jacksonville,South,Technology,Phones,4,584.06,0,504.045
S1-100168,17/12/2023,Standard Class,Consumer,United States,Arizona,Scottsdale,West,Technology,Accessories,1,404.79,0,313.63
S1-100169,05/10/2021,Second Class,Corporate,United States,Arizona,Scottsdale,West,Furniture,Bookcases,3,154.88,0.1,123.8066667
S1-100170,19/03/2021,Standard Class,Consumer,United States,Massachusetts,Lowell,East,Office Supplies,Art,4,79.58,0,68.65
S1-100171,01/10/2021,First Class,Consumer,United States,Arizona,Tucson,West,Technology,Machines,4,272.8,0,217.57
S1-100172,04/06/2022,Standard Class,Consumer,United States,California,San Diego,West,Technology,Copiers,1,281.88,0.2,137.39
S1-100173,02/09/2021,Second Class,Home Office,United States,Massachusetts,Boston,East,Technology,Accessories,3,709.14,0,538.5133333
S1-100174,29/04/2021,Standard Class,Corporate,United States,New York,Buffalo,East,Furniture,Furnishings,3,596.48,0,443.09
S1-100175,30/11/2023,First Class,Consumer,United States,Colorado,Colorado Springs,West,Technology,Machines,3,117.12,0.3,71.39666667
S1-100176,21/02/2022,First Class,Consumer,United States,Florida,Miami,South,Furniture,Chairs,1,791.91,0,506.63
S1-100177,27/04/2022,Standard Class,Corporate,United States,Illinois,Joliet,Central,Office Supplies,Labels,3,571.64,0,402.33
S1-100178,26/05/2023,Standard Class,Consumer,United States,Texas,San Antonio,Central,Furniture,Chairs,4,267.51,0,229.235
S1-100179,03/05/2021,Second Class,Home Office,United States,Arizona,Tucson,West,Furniture,Bookcases,2,457.22,0,350.36
S1-100180,05/09/2022,Standard Class,Corporate,United States,Colorado,Fort Collins,West,Furniture,Bookcases,3,63.89,0,46.17333333
S1-100181,23/05/2022,Second Class,Corporate,United States,New York,Rochester,East,Technology,Phones,3,609.54,0,457.0066667
S1-100182,12/05/2021,Standard Class,Corporate,United States,Massachusetts,Worcester,East,Office Supplies,Art,1,414.97,0,363.72
S1-100183,07/06/2021,Second Class,Consumer,United States,Washington,Everett,West,Office Supplies,Paper,1,5.45,0,4.53
S1-100184,16/03/2022,Second Class,Consumer,United States,California,San Jose,West,Furniture,Furnishings,3,264.36,0,191.31
S1-100185,30/01/2022,Standard Class,Corporate,United States,New York,Syracuse,East,Office Supplies,Art,4,183.04,0,123.575
S1-100186,02/03/2023,First Class,Corporate,United States,Illinois,Springfield,Central,Technology,Copiers,4,746.68,0,566.4025
S1-100187,30/09/2022,Standard Class,Home Office,United States,Florida,Tampa,South,Technology,Machines,4,218.96,0,167.325
S1-100188,10/04/2022,Standard Class,Consumer,United States,Illinois,Joliet,Central,Office Supplies,Art,2,106.14,0,90.765
S1-100189,03/05/2021,Standard Class,Consumer,United States,New York,Albany,East,Office Supplies,Paper,1,526.42,0,326.11
S1-100190,08/09/2021,First Class,Corporate,United States,Illinois,Chicago,Central,Technology,Phones,2,357.07,0,300.235
S1-100191,10/09/2023,Same Day,Consumer,United States,California,Los Angeles,West,Technology,Copiers,1,529.69,0.1,371.76
S1-100192,15/03/2023,Standard Class,Consumer,United States,Washington,Spokane,West,Office Supplies,Binders,1,285.01,0.1,155.32
S1-100193,20/02/2021,Standard Class,Corporate,United States,Colorado,Fort Collins,West,Technology,Machines,1,382.64,0,257.77
S1-100194,14/09/2022,First Class,Corporate,United States,New York,Rochester,East,Office Supplies,Paper,4,165.07,0.2,79.94
S1-100195,12/09/2021,Second Class,Home Office,United States,Massachusetts,Boston,East,Technology,Machines,4,442.51,0,378.3175
S1-100196,16/02/2023,Standard Class,Corporate,United States,Colorado,Boulder,West,Office Supplies,Paper,1,585.18,0.1,390.65
S1-100197,17/02/2022,Standard Class,Consumer,United States,Florida,Tallahassee,South,Technology,Accessories,1,373.82,0.2,245.3
S1-100198,07/06/2022,Standard Class,Corporate,United States,Nevada,Henderson,West,Technology,Phones,4,210.03,0,188.2275
S1-100199,07/04/2023,Standard Class,Consumer,United States,California,San Francisco,West,Office Supplies,Paper,4,231.67,0,197.78
S1-100200,22/01/2022,Second Class,Consumer,United States,Nevada,Reno,West,Technology,Copiers,4,393.97,0,254.4275
S1-100201,17/08/2022,Standard Class,Consumer,United States,California,San Diego,West,Furniture,Tables,3,227.31,0,178.2833333
S1-100202,21/12/2021,Standard Class,Consumer,United States,Colorado,Denver,West,Furniture,Chairs,2,649.19,0,492.82
S1-100203,17/04/2021,Second Class,Consumer,United States,California,San Jose,West,Office Supplies,Storage,4,754.21,0,588.595
S1-100204,19/03/2023,Standard Class,Home Office,United States,New York,Albany,East,Office Supplies,Labels,1,358.73,0,231.03
S1-100205,04/01/2021,Standard Class,Consumer,United States,Massachusetts,Boston,East,Office Supplies,Labels,2,782.55,0,500.265
S1-100206,10/01/2021,Standard Class,Consumer,United States,Massachusetts,Cambridge,East,Office Supplies,Paper,4,404.42,0.3,191.84
S1-100207,27/12/2021,Standard Class,Consumer,United States,Nevada,Reno,West,Furniture,Furnishings,3,781.34,0,539.4533333
S1-100208,13/02/2022,Standard Class,Corporate,United States,Florida,Orlando,South,Technology,Phones,2,287.4,0,234.24
S1-100209,15/04/2022,Standard Class,Home Office,United States,Florida,Tallahassee,South,Office Supplies,Binders,2,35.99,0,22.93
S1-100210,15/06/2021,Standard Class,Corporate,United States,Arizona,Phoenix,West,Technology,Machines,3,572.3,0.3,281.4133333
S1-100211,22/03/2021,Standard Class,Consumer,United States,Illinois,Naperville,Central,Furniture,Bookcases,4,215.34,0,136.1975
S1-100212,03/04/2022,Standard Class,Consumer,United States,New York,New York,East,Furniture,Chairs,2,274.51,0,172.095
S1-100213,25/05/2023,First Class,Consumer,United States,New York,Albany,East,Technology,Machines,3,255.09,0.1,190.42
S1-100214,16/03/2021,Standard Class,Consumer,United States,Nevada,Reno,West,Technology,Machines,4,80,0.3,46.5375
S1-100215,23/07/2022,Standard Class,Corporate,United States,Colorado,Denver,West,Technology,Machines,4,82.82,0,59.9825
S1-100216,22/07/2021,Standard Class,Home Office,United States,Washington,Spokane,West,Office Supplies,Storage,2,715.53,0,499.685
S1-100217,29/10/2022,Same Day,Consumer,United States,Washington,Spokane,West,Office Supplies,Paper,3,333.66,0.1,203.3033333
S1-100218,04/09/2022,First Class,Consumer,United States,Arizona,Scottsdale,West,Technology,Phones,1,655.49,0,445.1
S1-100219,17/07/2021,Second Class,Corporate,United States,Texas,Austin,Central,Technology,Phones,4,58.68,0,39.76
S1-100220,13/05/2021,Standard Class,Consumer,United States,Texas,Fort Worth,Central,Technology,Phones,3,575.86,0,372.5166667
S1-100221,06/10/2023,Standard Class,Home Office,United States,Massachusetts,Worcester,East,Technology,Accessories,1,95.65,0.2,67.66
S1-100222,30/07/2023,Second Class,Home Office,United States,Florida,Tampa,South,Office Supplies,Paper,2,565.69,0,345.99
S1-100223,17/03/2022,Standard Class,Corporate,United States,Florida,Jacksonville,South,Furniture,Furnishings,4,113.49,0,80.635
S1-100224,26/07/2021,Standard Class,Consumer,United States,New York,New York,East,Office Supplies,Binders,1,213.21,0,152.75
S1-100225,24/11/2021,Standard Class,Home Office,United States,Illinois,Joliet,Central,Office Supplies,Storage,3,728.29,0.1,404.8233333
S1-100226,03/02/2021,First Class,Corporate,United States,Colorado,Aurora,West,Office Supplies,Paper,1,602.46,0,492.23
